CLIENTNUM,Attrition_Flag,Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,calculated_utilization,High_Utilization_Flag,Low_Utilization_Flag,Credit_Headroom,avg_transaction_value,Transaction_Intensity,Inactivity_Rate,High_Contact_Flag,Inactive_Customer_Flag,High_Value_Customer_Flag,Churn_Binary,Gender_M,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_Unknown,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Income_Category_Unknown,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver,Utilization_Category_Low,Utilization_Category_Medium
710821833,Existing Customer,65,1,54,6,2,3,9095.0,1587,7508.0,1.433,1314,26,1.364,0.174,0.17449147883452445,0,1,7508.0,24.333333333333332,24.333333333333332,0.16666666666666666,0,0,0,0,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False
710599683,Existing Customer,56,1,36,3,6,0,11751.0,0,11751.0,3.397,1539,17,3.25,0.0,0.0,0,1,11751.0,42.75,42.75,0.5,0,1,1,0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
816082233,Existing Customer,35,3,30,5,1,3,8547.0,1666,6881.0,1.163,1311,33,2.0,0.195,0.19492219492219492,0,1,6881.0,43.7,43.7,0.08333333333333333,0,0,0,0,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
712396908,Existing Customer,57,2,48,5,2,2,2436.0,680,1756.0,1.19,1570,29,0.611,0.279,0.2791461412151067,0,0,1756.0,32.708333333333336,32.708333333333336,0.16666666666666666,0,0,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
714885258,Existing Customer,44,4,37,5,1,2,4234.0,972,3262.0,1.707,1348,27,1.7,0.23,0.2295701464336325,0,0,3262.0,36.432432432432435,36.432432432432435,0.08333333333333333,0,0,0,0,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True
709967358,Existing Customer,48,4,36,6,2,3,30367.0,2362,28005.0,1.708,1671,27,0.929,0.078,0.07778180261468041,0,1,28005.0,46.416666666666664,46.416666666666664,0.16666666666666666,0,0,1,0,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
753327333,Existing Customer,41,3,34,4,4,1,13535.0,1291,12244.0,0.653,1028,21,1.625,0.095,0.095382342076099,0,1,12244.0,30.235294117647058,30.235294117647058,0.3333333333333333,0,1,1,0,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False
806160108,Existing Customer,61,1,56,2,2,3,3193.0,2517,676.0,1.831,1336,30,1.143,0.788,0.7882868775446289,0,0,676.0,23.857142857142858,23.857142857142858,0.16666666666666666,0,0,0,0,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
709327383,Existing Customer,45,2,37,6,1,2,14470.0,1157,13313.0,0.966,1207,21,0.909,0.08,0.07995853489979267,0,1,13313.0,32.62162162162162,32.62162162162162,0.08333333333333333,0,0,1,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
806165208,Existing Customer,47,1,42,5,2,0,20979.0,1800,19179.0,0.906,1178,27,0.929,0.086,0.0858000858000858,0,1,19179.0,28.047619047619047,28.047619047619047,0.16666666666666666,0,0,1,0,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
708508758,Attrited Customer,62,0,49,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0.0,0.0,0,1,1438.3,14.122448979591837,14.122448979591837,0.25,0,0,0,1,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
784725333,Existing Customer,41,3,33,4,2,1,4470.0,680,3790.0,1.608,931,18,1.571,0.152,0.15212527964205816,0,1,3790.0,28.21212121212121,28.21212121212121,0.16666666666666666,0,0,0,0,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False
811604133,Existing Customer,47,4,36,3,3,2,2492.0,1560,932.0,0.573,1126,23,0.353,0.626,0.6260032102728732,0,0,932.0,31.27777777777778,31.27777777777778,0.25,0,0,0,0,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True
789124683,Existing Customer,54,2,42,4,2,3,12217.0,0,12217.0,1.075,1110,21,0.75,0.0,0.0,0,1,12217.0,26.428571428571427,26.428571428571427,0.16666666666666666,0,0,1,0,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False
771071958,Existing Customer,41,3,28,6,1,2,7768.0,1669,6099.0,0.797,1051,22,0.833,0.215,0.21485581874356333,0,0,6099.0,37.535714285714285,37.535714285714285,0.08333333333333333,0,0,0,0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
720466383,Existing Customer,59,1,46,4,1,2,14784.0,1374,13410.0,0.921,1197,23,1.3,0.093,0.0929383116883117,0,1,13410.0,26.02173913043478,26.02173913043478,0.08333333333333333,0,0,1,0,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False
804424383,Existing Customer,63,1,56,3,3,2,10215.0,1010,9205.0,0.843,1904,40,1.0,0.099,0.09887420460107685,0,1,9205.0,34.0,34.0,0.25,0,0,0,0,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,False
718813833,Existing Customer,44,3,34,5,2,2,10100.0,0,10100.0,0.525,1052,18,1.571,0.0,0.0,0,1,10100.0,30.941176470588236,30.941176470588236,0.16666666666666666,0,0,0,0,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False
806624208,Existing Customer,47,4,42,6,0,0,4785.0,1362,3423.0,0.739,1045,38,0.9,0.285,0.2846394984326019,0,0,3423.0,24.88095238095238,24.88095238095238,0.0,0,0,0,0,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
778348233,Existing Customer,53,3,33,3,2,3,2753.0,1811,942.0,0.977,1038,25,2.571,0.658,0.6578278241917908,0,0,942.0,31.454545454545453,31.454545454545453,0.16666666666666666,0,0,0,0,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True
712991808,Existing Customer,53,2,48,2,5,1,2451.0,1690,761.0,1.323,1596,26,1.6,0.69,0.689514483884129,0,0,761.0,33.25,33.25,0.4166666666666667,0,1,0,0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True
709029408,Existing Customer,41,4,36,4,1,2,8923.0,2517,6406.0,1.726,1589,24,1.667,0.282,0.2820800179311891,0,0,6406.0,44.138888888888886,44.138888888888886,0.08333333333333333,0,0,0,0,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
788658483,Existing Customer,53,2,38,5,2,3,2650.0,1490,1160.0,1.75,1411,28,1.0,0.562,0.5622641509433962,0,0,1160.0,37.13157894736842,37.13157894736842,0.16666666666666666,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
787937058,Existing Customer,58,0,49,6,2,2,12555.0,1696,10859.0,0.519,1291,24,0.714,0.135,0.13508562325766627,0,1,10859.0,26.346938775510203,26.346938775510203,0.16666666666666666,0,0,1,0,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
715318008,Existing Customer,55,1,36,4,2,1,3520.0,1914,1606.0,0.51,1407,43,0.483,0.544,0.54375,0,0,1606.0,39.083333333333336,39.083333333333336,0.16666666666666666,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
713962233,Existing Customer,55,3,36,6,2,3,3035.0,2298,737.0,1.724,1877,37,1.176,0.757,0.757166392092257,0,0,737.0,52.138888888888886,52.138888888888886,0.16666666666666666,0,0,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
785432733,Existing Customer,42,4,36,2,3,3,15433.0,0,15433.0,0.865,966,22,1.2,0.0,0.0,0,1,15433.0,26.833333333333332,26.833333333333332,0.25,0,0,1,0,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False
715190283,Existing Customer,57,1,49,3,3,2,3672.0,886,2786.0,1.32,1464,28,0.556,0.241,0.24128540305010893,0,0,2786.0,29.877551020408163,29.877551020408163,0.25,0,0,0,0,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True
708300483,Attrited Customer,66,0,56,5,4,3,7882.0,605,7277.0,1.052,704,16,0.143,0.077,0.07675716823141335,0,1,7277.0,12.571428571428571,12.571428571428571,0.3333333333333333,0,1,0,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
827111283,Existing Customer,45,3,41,2,2,2,32426.0,578,31848.0,1.042,1109,28,0.474,0.018,0.017825201998396347,0,1,31848.0,27.048780487804876,27.048780487804876,0.16666666666666666,0,0,1,0,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
758551608,Existing Customer,51,2,44,4,1,0,6205.0,2204,4001.0,0.803,1347,28,0.556,0.355,0.35519742143432714,0,0,4001.0,30.613636363636363,30.613636363636363,0.08333333333333333,0,0,0,0,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True
773146383,Existing Customer,50,1,43,3,2,3,17304.0,2517,14787.0,1.449,1756,33,1.2,0.145,0.14545769764216365,0,1,14787.0,40.83720930232558,40.83720930232558,0.16666666666666666,0,0,1,0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False
778493808,Existing Customer,49,3,37,5,2,1,3906.0,0,3906.0,1.214,1756,32,1.0,0.0,0.0,0,1,3906.0,47.45945945945946,47.45945945945946,0.16666666666666666,0,0,0,0,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
720572508,Existing Customer,38,4,28,2,3,3,9830.0,2055,7775.0,0.977,1042,23,0.917,0.209,0.20905391658189218,0,0,7775.0,37.214285714285715,37.214285714285715,0.25,0,0,0,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
712661433,Existing Customer,49,4,30,3,2,3,34516.0,0,34516.0,1.621,1444,28,1.333,0.0,0.0,0,1,34516.0,48.13333333333333,48.13333333333333,0.16666666666666666,0,0,1,0,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False
789172683,Existing Customer,56,2,45,6,2,0,2283.0,1430,853.0,2.316,1741,27,0.588,0.626,0.6263688129653964,0,0,853.0,38.68888888888889,38.68888888888889,0.16666666666666666,0,0,0,0,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
738406533,Existing Customer,59,1,52,3,2,2,2548.0,2020,528.0,2.357,1719,27,1.7,0.793,0.792778649921507,0,0,528.0,33.05769230769231,33.05769230769231,0.16666666666666666,0,0,0,0,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
799723908,Existing Customer,46,3,40,4,3,3,19458.0,1435,18023.0,0.787,1217,27,0.8,0.074,0.07374858669955803,0,1,18023.0,30.425,30.425,0.25,0,0,1,0,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
771490833,Existing Customer,52,1,40,5,1,1,4745.0,1227,3518.0,0.624,1140,40,0.6,0.259,0.2585879873551106,0,0,3518.0,28.5,28.5,0.08333333333333333,0,0,0,0,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
720756708,Existing Customer,52,3,41,6,3,2,2622.0,1549,1073.0,1.321,1878,30,1.143,0.591,0.5907704042715485,0,0,1073.0,45.80487804878049,45.80487804878049,0.25,0,0,0,0,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True
779471883,Attrited Customer,54,1,40,2,3,1,1438.3,808,630.3,0.997,705,19,0.9,0.562,0.561774316901898,0,0,630.3,17.625,17.625,0.25,0,0,0,1,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
711525033,Existing Customer,66,0,54,3,4,2,3171.0,2179,992.0,1.224,1946,38,1.923,0.687,0.6871649321980448,0,0,992.0,36.03703703703704,36.03703703703704,0.3333333333333333,0,1,0,0,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
712813458,Existing Customer,49,2,36,4,2,0,19763.0,2517,17246.0,0.664,1414,35,0.25,0.127,0.12735920659818853,0,1,17246.0,39.27777777777778,39.27777777777778,0.16666666666666666,0,0,1,0,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False
714374133,Attrited Customer,56,2,36,1,3,3,15769.0,0,15769.0,1.041,602,15,0.364,0.0,0.0,0,1,15769.0,16.72222222222222,16.72222222222222,0.25,0,0,1,1,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
717891558,Existing Customer,49,4,36,6,4,2,3298.0,2200,1098.0,0.678,1052,32,0.6,0.667,0.667070952092177,0,0,1098.0,29.22222222222222,29.22222222222222,0.3333333333333333,0,1,0,0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
716632758,Existing Customer,49,3,36,2,2,0,2802.0,2363,439.0,0.75,1295,40,0.6,0.843,0.8433261955745895,1,0,439.0,35.97222222222222,35.97222222222222,0.16666666666666666,0,0,0,0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
768563658,Existing Customer,56,2,50,4,2,3,4458.0,1880,2578.0,1.107,1424,29,1.417,0.422,0.4217137729923733,0,0,2578.0,28.48,28.48,0.16666666666666666,0,0,0,0,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True
711427458,Existing Customer,44,5,35,4,1,2,6273.0,978,5295.0,2.275,1359,25,1.083,0.156,0.1559062649450024,0,1,5295.0,38.82857142857143,38.82857142857143,0.08333333333333333,0,0,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
714091983,Existing Customer,42,2,34,4,4,3,3336.0,1753,1583.0,0.69,1168,27,1.25,0.525,0.5254796163069544,0,0,1583.0,34.35294117647059,34.35294117647059,0.3333333333333333,0,1,0,0,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
787584108,Existing Customer,55,3,47,4,2,3,3436.0,2016,1420.0,0.901,1097,33,0.833,0.587,0.5867287543655413,0,0,1420.0,23.340425531914892,23.340425531914892,0.16666666666666666,0,0,0,0,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True
712030833,Attrited Customer,48,2,35,2,4,4,34516.0,0,34516.0,0.763,691,15,0.5,0.0,0.0,0,1,34516.0,19.742857142857144,19.742857142857144,0.3333333333333333,1,1,1,1,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False
711481533,Existing Customer,39,1,33,5,3,3,5926.0,1251,4675.0,0.944,1316,28,1.154,0.211,0.21110361120485993,0,0,4675.0,39.878787878787875,39.878787878787875,0.25,0,0,0,0,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
710082708,Existing Customer,44,4,32,2,4,2,23957.0,2102,21855.0,0.997,1276,26,0.733,0.088,0.08774053512543306,0,1,21855.0,39.875,39.875,0.3333333333333333,0,1,1,0,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
708155733,Existing Customer,53,2,44,4,2,2,14734.0,1634,13100.0,0.989,1289,23,0.917,0.111,0.11089995927786073,0,1,13100.0,29.295454545454547,29.295454545454547,0.16666666666666666,0,0,1,0,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
788979258,Existing Customer,51,4,38,4,1,4,34516.0,1515,33001.0,0.592,1293,32,0.6,0.044,0.043892687449298876,0,1,33001.0,34.026315789473685,34.026315789473685,0.08333333333333333,1,0,1,0,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,True,False
807986133,Existing Customer,57,2,52,5,3,3,6584.0,1817,4767.0,0.62,1353,35,0.667,0.276,0.27597205346294046,0,0,4767.0,26.01923076923077,26.01923076923077,0.25,0,0,0,0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
788730933,Existing Customer,44,2,20,6,3,3,2084.0,1468,616.0,1.004,1132,28,0.556,0.704,0.7044145873320538,0,0,616.0,56.6,56.6,0.25,0,0,0,0,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True
711314058,Existing Customer,49,2,32,2,2,2,1687.0,1107,580.0,1.715,1670,17,2.4,0.656,0.6561944279786603,0,0,580.0,52.1875,52.1875,0.16666666666666666,0,0,0,0,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
717975333,Existing Customer,50,2,38,6,2,2,25300.0,1330,23970.0,1.072,837,15,2.0,0.053,0.05256916996047431,0,1,23970.0,22.026315789473685,22.026315789473685,0.16666666666666666,0,0,1,0,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
715971108,Existing Customer,51,4,42,3,2,3,34516.0,1763,32753.0,1.266,1550,41,1.05,0.051,0.051077761038359024,0,1,32753.0,36.904761904761905,36.904761904761905,0.16666666666666666,0,0,1,0,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
720096558,Existing Customer,55,2,42,5,3,3,2216.0,1034,1182.0,0.758,1540,36,0.286,0.467,0.4666064981949459,0,0,1182.0,36.666666666666664,36.666666666666664,0.25,0,0,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
719580033,Existing Customer,54,1,43,4,2,3,2910.0,2030,880.0,0.769,1256,21,0.4,0.698,0.697594501718213,0,0,880.0,29.209302325581394,29.209302325581394,0.16666666666666666,0,0,0,0,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True
820582308,Existing Customer,42,5,37,6,2,2,22913.0,1528,21385.0,0.414,1394,35,0.522,0.067,0.06668703356173351,0,1,21385.0,37.67567567567568,37.67567567567568,0.16666666666666666,0,0,1,0,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False
789973308,Existing Customer,44,1,35,3,3,3,24312.0,1932,22380.0,1.312,1341,24,1.182,0.079,0.07946692991115499,0,1,22380.0,38.31428571428572,38.31428571428572,0.25,0,0,1,0,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
712876233,Existing Customer,53,2,36,5,3,2,5272.0,1515,3757.0,0.857,1289,33,0.435,0.287,0.28736722306525037,0,0,3757.0,35.80555555555556,35.80555555555556,0.25,0,0,0,0,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
804595158,Existing Customer,44,4,36,6,4,2,7000.0,2517,4483.0,0.475,1112,23,1.875,0.36,0.3595714285714286,0,0,4483.0,30.88888888888889,30.88888888888889,0.3333333333333333,0,1,0,0,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
714826758,Existing Customer,37,3,29,4,4,2,7038.0,1801,5237.0,0.751,2339,57,0.966,0.256,0.25589656152316,0,0,5237.0,80.65517241379311,80.65517241379311,0.3333333333333333,0,1,0,0,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True
779058108,Existing Customer,49,3,30,6,1,2,2536.0,1823,713.0,0.703,1468,23,0.353,0.719,0.7188485804416404,0,0,713.0,48.93333333333333,48.93333333333333,0.08333333333333333,0,0,0,0,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
710790258,Existing Customer,47,2,38,6,3,2,28904.0,1899,27005.0,0.85,1334,35,0.4,0.066,0.06570024910047052,0,1,27005.0,35.10526315789474,35.10526315789474,0.25,0,0,1,0,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
715623483,Existing Customer,47,3,37,4,4,0,8567.0,1695,6872.0,1.242,1457,41,1.412,0.198,0.19785222364888524,0,1,6872.0,39.37837837837838,39.37837837837838,0.3333333333333333,0,1,0,0,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
715156383,Existing Customer,44,1,36,6,2,2,34516.0,1533,32983.0,0.924,1603,29,0.526,0.044,0.04441418472592421,0,1,32983.0,44.52777777777778,44.52777777777778,0.16666666666666666,0,0,1,0,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False
711013983,Attrited Customer,55,4,45,2,4,3,2158.0,0,2158.0,0.585,615,12,0.714,0.0,0.0,0,1,2158.0,13.666666666666666,13.666666666666666,0.3333333333333333,0,1,0,1,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False
755420433,Existing Customer,59,1,52,2,3,3,10133.0,1417,8716.0,0.383,1068,20,0.818,0.14,0.13984012631994475,0,1,8716.0,20.53846153846154,20.53846153846154,0.25,0,0,0,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
794543958,Existing Customer,53,1,35,5,4,2,34516.0,1219,33297.0,1.129,1590,27,2.0,0.035,0.035316954455904506,0,1,33297.0,45.42857142857143,45.42857142857143,0.3333333333333333,0,1,1,0,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
716396358,Existing Customer,52,2,47,5,3,0,3085.0,1910,1175.0,0.921,1531,35,0.667,0.619,0.6191247974068071,0,0,1175.0,32.57446808510638,32.57446808510638,0.25,0,0,0,0,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
715398033,Existing Customer,53,2,35,4,2,1,19040.0,2056,16984.0,0.607,1212,31,0.722,0.108,0.10798319327731093,0,1,16984.0,34.628571428571426,34.628571428571426,0.16666666666666666,0,0,1,0,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
711743883,Existing Customer,43,3,35,5,2,3,4026.0,0,4026.0,0.483,1237,32,0.6,0.0,0.0,0,1,4026.0,35.34285714285714,35.34285714285714,0.16666666666666666,0,0,0,0,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False
719720058,Existing Customer,44,3,31,4,3,1,12756.0,837,11919.0,1.932,1413,14,1.8,0.066,0.06561618062088428,0,1,11919.0,45.58064516129032,45.58064516129032,0.25,0,0,1,0,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
778992108,Existing Customer,57,2,45,5,3,3,5266.0,0,5266.0,1.702,1516,29,1.636,0.0,0.0,0,1,5266.0,33.68888888888889,33.68888888888889,0.25,0,0,0,0,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False
717539808,Existing Customer,51,2,36,3,2,2,9930.0,0,9930.0,0.731,1276,21,1.333,0.0,0.0,0,1,9930.0,35.44444444444444,35.44444444444444,0.16666666666666666,0,0,0,0,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
714070758,Existing Customer,49,4,38,4,3,0,31302.0,1953,29349.0,0.875,1564,35,2.182,0.062,0.06239217941345601,0,1,29349.0,41.1578947368421,41.1578947368421,0.25,0,0,1,0,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
